role
обр
арх
авт-макета
перевод
отв-за-вып
илл
худож
зав-ред
текст
подгот
сот
авт-сост
обраб
гл-ред
переск
автор
перес
рук
пересказ
пер
ред-сост
адаптация
вед-ред
худ
фото
персказ
сост-и-пер
ред
отв-ред
ораг
под-ред
сост
отв-за-выпуск
обр-текста
рис
науч-ред
корр
рук-проекта
вып-ред
отв
