author_name;book_id;role_name
Ким Сук Янг.;1209898;автор
Окошкина Е.;1076043;ред
Верзун Д.;334862;автор
Левин П.;953732;автор
Манн Г.;328517;автор
фон Экартсберг Б.;1087779;автор
Максимова М.;1207409;автор
Кордемский Б.;995074;автор
Успенский Э.;1196621;автор
Лазарева Е.;910472;автор
Рэйк М.;1222765;автор
Смилевска Л.;723635;ред
Мерников А.;1222726;автор
Страуб К.;916509;автор
Узорова О.;1062936;автор
Бауман Н.;994812;автор
Джойс Дж.;1166799;автор
Волченко Ю.;762353;ред
Чудова А.;990160;ред
Батырева С.;1079487;автор
Самаров С.;942783;автор
Паль.;767446;автор
Цветаева М.;735677;автор
Крестовская И.;459009;авт-сост
Коцюруба В.;255250;автор
Ремарк Э.;986187;автор
Емелин В.;348217;автор
Белых Г.;875080;автор
Александрова Н.;1086403;автор
Педчак Е.;368562;автор
Миронова Н.;1178333;автор
Романова Г.;759446;автор
Райан К.;822463;автор
Живова Т.;821557;автор
Даймонд Дж.;1032476;автор
Фай Г.;1057224;автор
Белецкая Т.;767602;автор
Тамоников А.;1191198;автор
Дэшвуд М.;1069292;автор
Курдюмов Н.;1166179;автор
Язвицкий В.;854238;автор
Лихтарович Г.;817082;автор
Талер М.;1227979;автор
Шахова А.;763206;ред
Курцвейл Р.;856958;автор
Громов А.;242308;автор
Лем С.;324462;автор
Морозова Л.;938362;автор
Лорен К.;867015;автор
Гречко М.;1159896;автор
Колесникова И.;384476;пер
Милдон Э.;1175234;автор
Матвеев С.;852250;автор
Рой О.;848872;автор
Хейл Д.;963516;автор
Миронова Н.;1010186;автор
Когман Б.;831575;автор
Кэрролл Л.;1190919;автор
Вебб Х.;1078263;автор
Клочкова Ю.;309275;автор
Конторович А.;1055142;автор
Юрт М.;961858;автор
Полянская А.;1159351;автор
Дымовская А.;331346;автор
Маршак С.;1193368;автор
Мерников А.;1209159;автор
Мазина С.;870083;ред
Волкова Н.;1034048;автор
Маринина А.;838149;автор
Александрова Н.;583234;автор
Пермяк Е.;1032809;автор
Пустовойтов В.;727512;сост
Ильичева С.;367297;ред
Картленд Б.;402178;автор
Зимова А.;1026269;сост
Устинова А.;1096176;ред
Явный А.;973235;автор
Клюшник Л.;1009552;автор
Стругацкий Б.;1216863;автор
Кошевар Д.;1034957;автор
Гоголь Н.;1038207;автор
Гончаров И.;1224508;автор
Литвинов С.;362245;автор
Томпсон Х.;999214;автор
Ми Ш.;1005304;автор
Стил Ф.;900189;автор
Поллок Т.;1083771;автор
Швецова О.;1066288;автор
Лавкрафт Г.;1190054;автор
Хемингуэй Э.;793052;автор
Дженнингс Л.;1197949;автор
Дойл А.;1198540;автор
Распопов Д.;1087841;автор
Пирс Л.;1053032;автор
Потебня Д.;1223197;автор
Вайник А.;505294;сост
Паркер М.;1018827;автор
Андреев Д.;1062351;автор
Антонова А.;1016869;автор
Байкалов А.;918612;автор
Рубальская Л.;370796;автор
Атаманов М.;1034310;автор
Чудова А.;1091566;ред
Кизима Г.;960891;автор
Шуйская Ю.;324248;пер
Тамоников А.;1015817;автор
Вайткене Л.;886212;автор
Элдер А.;723642;автор
Абрагин Д.;1199080;автор
Калнина Н.;1096035;автор
Силлов Д.;1193447;автор
Лейтон Р.;1208687;автор
Тамоников А.;904127;автор
Саксон В.;1036775;автор
Рэмптон Г.;266579;автор
Хьюго С.;984388;автор
Дроздов Д.;964373;автор
Брюсов В.;1206789;автор
